Word,Frequency
#cacioepepe,1
#pasta,1
#meatlessmonday,1
#westvillage,1
#rosemarys,1
Lunch,1
scene,1
afternoon,1
-,14
an,1
all,8
Andhra,2
vegetarian,1
bhojanam!,1
steamed,1
"rice,",1
pappu,4
charu,2
(tamarind,2
based,1
lentil,1
vegetable,3
"stew),",1
cauliflower,2
"pickle,",1
chikkudikaya,2
tomato,6
kura,3
(broad,1
beans,1
"curry),",1
kalchina,2
vankaya,2
pachadi,3
(roasted,1
brinjal,1
chutney),1
buttermilk,1
(not,1
pic),1
The,7
"pulusu,",1
are,6
blog.,2
Am,1
yet,1
blog,4
pickle,1
www.sailusfood.com,3
#sailusfood,10
#indianfood,11
#simplefood,3
#thali,3
#andhrafood,2
#telugufood,2
#andhracuisine,2
#healthyfood,2
#healthyliving,2
#lunch,2
#lunchideas,2
#homecooking,2
#southindianfood,5
#andhra,2
#flavorsofindia,2
#authenticfood,3
#ammacooking,2
#traditional,2
#indiankitchen,2
#walkwithindia,9
#ilovetoeat,2
#eattherainbow,4
#comfortfood,12
#soulfood,8
#goodfoodindia,5
#indiafood_lovers,2
#foodtalkindia,9
Ghee,1
Podi,1
Idli,1
breakfast.,2
left,2
idlis,2
took,1
avatar,1
generous,2
sprinkle,2
coarsely,1
pound,1
idli,1
podi,1
tossed,1
tempering,1
mustard,2
"seeds,",1
urad,1
dal,1
curry,2
leaves.,1
#breakfast,2
#idli,2
#podiidli,1
#veganfoodshare,4
#idlilove,2
#idlipodi,1
#breakfastlover,4
#breakfastofchamps,5
#foodielife,2
#ndtv_food,6
#southindianbreakfast,4
#healthybreakfast,3
#foodblogfeed,11
#whatiate,3
#onmytable,3
#breakfastclub,3
#healthyish,2
#yummyinmytummy,8
Relished,1
desi,1
ghee,2
smeared,1
roti,2
aloo,3
tamatar,2
sabji,1
(no,1
onion,2
garlic),1
dahi,1
that's,3
spiked,1
roasted,2
cumin,2
powder,3
For,6
"sabji,",1
peel,1
large,2
potato,2
chop,1
into,3
"1/2""",2
thin,1
pieces.,2
Chop,1
small,1
Heat,3
1,5
1/2,8
tbsps,2
oil,4
pressure,3
"cooker,",1
add,2
tsp,10
crackle.,1
Add,10
slit,1
green,3
chilies,1
chopped,3
potatoes,2
cook,4
low,1
flame,2
mins.,5
turmeric,1
"powder,",3
grated,2
ginger,2
(1/2,1
"tsp),",1
dhania,1
red,2
chili,2
salt.,1
Mix,1
min.,1
tomatoes,1
4-5,1
amount,1
"coriander,",1
cup,1
water,2
whistles.,1
Once,1
"eases,",1
open,1
lid,1
simmer,2
minutes,1
if,5
required.,1
1/4,4
garam,2
masala,4
coriander,2
mix.,1
#northindianfood,5
#lbreakfast,1
#desikhana,1
#aloosabji,1
#breakfastoftheday,4
#ilovecooking,1
#delhifoodie,5
#dilsefoodie,2
#delhifoodies,2
#happinessishomemade,3
#thefeedfeed,5
#huffposttaste,4
#kitchenstories,3
#vegetarianfoodshare,3
#fbci_official,2
#delhidiaries,2
#truecooks,3
A,4
heart,1
"warming,",1
breakfast,4
#onmyplate,3
hot,5
kurma.,2
One,2
side,1
dishes,2
go,1
idli.,1
quite,1
variations,1
Here's,1
made,6
kurma,1
high,2
flavour.,1
tbsp,3
pan.,1
sliced,2
medium,1
"tomatoes,",1
"chili,",1
cloves,1
sauté,2
Cool,1
grind,1
gram,1
"dal,",1
"coconut,",1
poppy,1
seeds,2
fennel,1
seeds.,1
vessel.,1
allow,1
splutter.,1
leaves,1
6-7,1
powder.,1
Mix.,1
ground,1
paste,1
cups,1
salt,1
taste.,1
Bring,1
rolling,1
"boil,",1
reduce,1
10-12,1
#tomatokurma,1
#glutenfreeindia,3
#healthy,2
#traditionalfood,1
#aurhenticfood,1
#glutenfreevegan,2
Heavenly,1
morning,1
roast,1
golden,2
dosa,1
sambar,1
coconut,1
chutney.,1
And,2
"course,",1
filter,1
kaapi!,1
#dosa,1
#dosai,1
#tiffinsofindia,1
#chutney,1
#yahoofood,1
#tiffin,1
#dosalove,1
#homechef,1
#foodiesofindia,2
#bestbreakfastever,1
Made,2
matar,4
paneer,2
(home,1
paneer),1
served,2
using,1
bature,1
dough.,1
winter,1
breakfast!,1
buy,1
or,10
peas,1
tend,1
fistful,1
don't,2
call,3
them.,1
Anyone,1
crazy,1
matar?,1
😊,2
link,4
IG,2
profile,3
google,3
'sailu,3
paneer',1
#punjabifood,2
#matarpaneer,1
#roti,1
#matar,1
#greenpeas,1
#ontheplate_project,2
#latergram,1
comforting,1
bhojanam,1
yesterday,1
🔸Menthukura,1
(methi,1
turdal),1
🔸Tomato,1
perugu,1
🔸Chilakadadumpa,1
(sweet,1
curry),1
🔸Charu,1
soup),1
🔸Annam,1
(steamed,1
rice),1
All,3
Sunday,2
scenes,1
time,2
favourite,2
Chole,1
Bhature,1
match,1
heaven!,1
What,1
eat,1
breakfast?,1
If,4
want,2
Punbaji,1
chole,2
"bhature,",1
find,4
OR,1
recipe'.,1
batura,1
Instagram,1
#batura,1
#cholebhature,1
#tasteofindia,1
#sodelhi,1
#indianfoodbloggers,1
#breakfastspecial,1
#whatsforbreakfast,1
#nomnom24x7,1
@thefoodguruji,1
@mumbaifoodies,1
@theindianroute,1
@buzzfeedfood,1
@dillifoodies,1
@foodreview.in,1
@desi.foodbie,1
@delhisehoon,1
@bhukkhadbybirth,1
today,1
stove,1
"lacy,",1
soft,1
appams,1
Kerala,2
style,2
stew.,1
interested,1
Appam,1
"stew,",1
visit,1
name',1
#appam,1
#vegetablestew,1
#keralafood,1
#thefoodfeed,2
#lovemyfood,1
updated,1
Paal,1
Poli,1
milk,1
"poori,",1
Diwali.,1
classic,1
South,1
Indian,1
dessert,2
where,2
deep,2
fried,1
pooris,1
(made,1
flour,1
semolina,1
dough),1
dunked,1
rich,1
cardamom,1
"flavored,",1
reduced,1
sweetened,1
milk.,1
Simply,1
irresistible,1
dessert!,1
Those,1
who,2
#paalpoli,1
#milkpoli,1
#milkpuri,1
#recipeoftheday,1
#southindiansweet,1
#foodblog,1
#instafoodie,1
#sodelicious,1
#ontheblog,1
#foodgawker,1
#f52grams,1
#buzzfeedfood,1
#diwali,1
#krishnashtami,1
#bhogi,1
#foodblogger,1
#feedfeed,1
#indiandessert,1
#beautifulcuisines,1
#indiansweets,1
#indiancooking,1
#traditionalsweets,1
#indianfestivalrecipes,1
Plan,6
private,2
parties,7
@the_roof_tree,2
Rooftree,2
lounge,6
resto,1
!!,1
😋@the_roof_tree,1
Enjoy,2
family,7
!,3
types,2
veg,2
non-veg,2
food,12
available,2
contact,2
8871784654,3
Address,9
:-,15
R-11,1
",",43
Hardev,2
complex,3
above,1
JK,1
marble,1
mp,3
nagar,2
zone,3
Bhopal,3
#rootree,1
#rootreebhopal,1
#newrestaurant,1
#bhopalrestaurant,8
#lounge,6
Celebrate,1
christmas,1
@r_ambience_,5
venture,4
Hotel,4
Sunshine,4
"""Exclusive",4
Restro,4
Rooftop,4
cafe,4
"""😍",1
R-ambience,5
Amazing,5
ambience,5
multi,5
cuisines,5
available😄,5
Best,5
hangout,5
Contact,5
bookings,5
0755-4244281,5
next,5
hotel,5
sunshine,5
bhawani,5
road,5
sehore,5
naka,5
bairagarh,5
bhopal,8
#bhopalblogger,7
#foodblogbhopal,8
#cafe,5
#bhopalfood,6
#bhopallounge,6
#foodlove,9
Diwali,1
vibes,1
😍❤,1
rooftree,1
restro,1
Address:-,1
R11,2
hardev,1
nagae,1
Bookings,1
#bhopal,4
#rooftree,2
#rooftop,1
